return_id,order_id,product_id,return_date,return_reason,refund_amount
RET0039,ORD00095,P002,2026-04-12,Wrong Item,52626.14
RET0040,ORD00668,P090,2026-05-02,Late Delivery,-119369.21
RET0041,ORD00362,P095,2026-05-19,Wrong Item,75572.56
RET0042,ORD00835,P005,2026-06-05,Wrong Item,5324.47
RET0043,ORD00858,P039,2026-05-06,Customer Changed Mind,10640.02
RET0044,ORD00231,P062,2026-04-19,Wrong Size,123622.92
RET0045,ORD00463,P001,2026-05-23,Damaged Product,68362.95
RET0046,ORD00081,P049,2026-04-10,Late Delivery,99823.92
RET0047,ORD00386,P032,2026-04-17,Customer Changed Mind,58472.0
RET0048,ORD00225,P004,2026-04-11,Wrong Item,78475.68
RET0049,ORD00357,P033,2026-04-12,Late Delivery,13108.89
RET0050,ORD00688,P071,2026-05-07,Late Delivery,26460.84
RET0051,ORD00768,P015,2026-04-18,Wrong Size,66735.6
RET0052,ORD00169,P043,2026-06-04,Late Delivery,70486.95
RET0053,ORD00089,P074,2026-05-24,Late Delivery,6687.9
RET0054,ORD00673,P003,2026-05-24,Customer Changed Mind,71217.3
RET0055,ORD00304,P087,2026-05-05,Wrong Item,8378.24
RET0056,ORD00987,P047,2026-04-14,Late Delivery,106235.08
RET0057,ORD00717,P050,2026-05-16,Wrong Size,119975.2
RET0058,ORD00379,P008,2026-05-09,Wrong Size,1023.84
RET0059,ORD00704,P015,2026-05-17,Wrong Item,13542.3
RET0060,ORD00603,P071,2026-05-22,Wrong Size,6462.76
RET0061,ORD00929,P079,2026-04-13,Customer Changed Mind,39892.96
RET0062,ORD00678,P018,2026-05-08,Wrong Size,13654.48
RET0063,ORD00702,P075,2026-04-10,Damaged Product,20063.24
RET0064,ORD00642,P045,2026-04-25,Late Delivery,55175.94
RET0065,ORD00381,P069,2026-05-26,Wrong Size,21472.57
RET0066,ORD00685,P071,2026-06-02,Wrong Size,7310.52
RET0067,ORD00821,P087,2026-05-07,Damaged Product,4230.6
RET0068,ORD00279,P001,2026-05-10,Damaged Product,8326.2
RET0069,ORD00408,P069,2026-05-12,Late Delivery,148277.88
RET0070,ORD00602,P097,2026-05-05,Wrong Item,95228.38
RET0071,ORD00842,P064,2026-05-15,Wrong Size,8975.86
RET0072,ORD00917,P093,2026-05-02,Customer Changed Mind,93361.5
RET0073,ORD00781,P021,2026-04-12,Wrong Item,58018.7
RET0074,ORD00886,P067,2026-05-01,Wrong Size,22016.68
RET0075,ORD00220,P016,2026-05-31,Customer Changed Mind,64224.36
RET0076,ORD00964,P094,2026-05-20,Wrong Size,15285.36
RET0077,ORD00038,P090,2026-04-23,Late Delivery,11643.39
RET0078,ORD00122,P095,2026-04-23,Customer Changed Mind,26570.97
RET0079,ORD00713,P071,2026-04-29,Wrong Size,1051.14
RET0080,ORD00269,P018,2026-04-24,Customer Changed Mind,136539.13
RET0081,ORD00048,P071,2026-06-03,Wrong Size,23279.58
RET0082,ORD00300,P064,2026-04-24,Wrong Size,37344.24
RET0083,ORD00263,P044,2026-06-03,Damaged Product,20763.51
RET0084,ORD00801,P031,2026-05-09,Wrong Size,24974.96
RET0085,ORD00574,P051,2026-04-12,Damaged Product,74671.76
RET0086,ORD00644,P076,2026-06-02,Wrong Item,3285.49
RET0087,ORD00832,P006,2026-04-12,Damaged Product,4038.65
RET0088,ORD00903,P045,2026-05-17,Customer Changed Mind,93283.1
RET0089,ORD00652,P097,2026-06-03,Damaged Product,178712.64
RET0090,ORD00802,P057,2026-04-21,Late Delivery,169279.38
RET0091,ORD00710,P011,2026-04-24,Wrong Item,24820.9
RET0092,ORD00847,P053,2026-06-05,Wrong Size,21460.32
RET0093,ORD00728,P094,2026-04-21,Wrong Item,42002.1
RET0094,ORD00973,P025,2026-04-23,Customer Changed Mind,59720.49
RET0095,ORD00162,P052,2026-04-18,Damaged Product,62690.76
RET0096,ORD00500,P021,2026-05-20,Damaged Product,149018.6
RET0097,ORD00427,P080,2026-05-03,Customer Changed Mind,34762.32
RET0098,ORD00132,P009,2026-06-02,Damaged Product,5631.04
RET0099,ORD00030,P041,2026-05-12,Customer Changed Mind,19093.16
RET0100,ORD00187,P067,2026-04-21,Damaged Product,36937.6
RET0101,ORD00621,P019,2026-04-26,Late Delivery,33648.72
RET0102,ORD00921,P054,2026-05-13,Wrong Size,1946.18
RET0103,ORD00854,P090,2026-04-24,Customer Changed Mind,22777.62
RET0104,ORD00311,P081,2026-05-30,Customer Changed Mind,21139.26
RET0105,ORD00960,P016,2026-04-20,Customer Changed Mind,92382.5
RET0106,ORD00827,P079,2026-05-23,Wrong Size,41149.81
RET0107,ORD00459,P092,2026-05-18,Wrong Size,45717.92
RET0108,ORD00446,P007,2026-05-08,Damaged Product,32008.74
RET0109,ORD00789,P009,2026-04-26,Late Delivery,9655.8
RET0110,ORD00135,P003,2026-06-01,Damaged Product,53524.12
RET0111,ORD00409,P090,2026-05-07,Late Delivery,28078.2
RET0112,ORD00714,P051,2026-05-03,Customer Changed Mind,133284.62
RET0113,ORD00814,P095,2026-05-03,Wrong Item,49586.77
RET0114,ORD00615,P069,2026-04-25,Customer Changed Mind,3768.82
RET0115,ORD00276,P048,2026-05-10,Customer Changed Mind,83602.2
RET0116,ORD00130,P043,2026-05-21,Customer Changed Mind,-60296.39
RET0117,ORD00412,P067,2026-05-23,Wrong Size,2346.75
RET0118,ORD00649,P064,2026-05-26,Damaged Product,91884.7
RET0119,ORD00750,P069,2026-04-18,Customer Changed Mind,-69781.44
RET0120,ORD00758,P095,2026-05-19,Customer Changed Mind,95885.7
